"api","safari","chrome","firefox",
"BackgroundFetchRegistration#uploaded","FALSE","TRUE","FALSE",
"BackgroundFetchRegistration#uploadTotal","FALSE","TRUE","FALSE",
"BarcodeDetector#detect","FALSE","TRUE","FALSE",
"BarcodeDetector#getSupportedFormats","FALSE","TRUE","FALSE",
"BaseAudioContext#resume","FALSE","FALSE","TRUE",
"BatteryManager#charging","FALSE","TRUE","FALSE",
"BatteryManager#chargingTime","FALSE","TRUE","FALSE",
"BatteryManager#dischargingTime","FALSE","TRUE","FALSE",
"BatteryManager#level","FALSE","TRUE","FALSE",
"BatteryManager#onchargingchange","FALSE","TRUE","FALSE",
"BatteryManager#onchargingtimechange","FALSE","TRUE","FALSE",
"BatteryManager#ondischargingtimechange","FALSE","TRUE","FALSE",
"BatteryManager#onlevelchange","FALSE","TRUE","FALSE",
"BeforeInstallPromptEvent#platforms","FALSE","TRUE","FALSE",
"BeforeInstallPromptEvent#prompt","FALSE","TRUE","FALSE",
"BeforeInstallPromptEvent#userChoice","FALSE","TRUE","FALSE",
"BlobEvent#timecode","FALSE","TRUE","FALSE",
"Bluetooth#getAvailability","FALSE","TRUE","FALSE",
"Bluetooth#requestDevice","FALSE","TRUE","FALSE",
"BluetoothCharacteristicProperties#authenticatedSignedWrites","FALSE","TRUE","FALSE",
"BluetoothCharacteristicProperties#broadcast","FALSE","TRUE","FALSE",
"BluetoothCharacteristicProperties#indicate","FALSE","TRUE","FALSE",
"BluetoothCharacteristicProperties#notify","FALSE","TRUE","FALSE",
"BluetoothCharacteristicProperties#read","FALSE","TRUE","FALSE",
"BluetoothCharacteristicProperties#reliableWrite","FALSE","TRUE","FALSE",
"BluetoothCharacteristicProperties#writableAuxiliaries","FALSE","TRUE","FALSE",
"BluetoothCharacteristicProperties#write","FALSE","TRUE","FALSE",
"BluetoothCharacteristicProperties#writeWithoutResponse","FALSE","TRUE","FALSE",
"BluetoothDevice#gatt","FALSE","TRUE","FALSE",
"BluetoothDevice#id","FALSE","TRUE","FALSE",
"BluetoothDevice#name","FALSE","TRUE","FALSE",
"BluetoothDevice#ongattserverdisconnected","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTCharacteristic#getDescriptor","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTCharacteristic#getDescriptors","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTCharacteristic#oncharacteristicvaluechanged","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTCharacteristic#properties","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTCharacteristic#readValue","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTCharacteristic#service","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTCharacteristic#startNotifications","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTCharacteristic#stopNotifications","FALSE","TRUE","FALSE",
